x	y	label	showSelected1	PANEL	group
15	23	janvier 2012	janvier 2012	1	36
15	23	février 2012	février 2012	1	37
15	23	mars 2012	mars 2012	1	38
15	23	avril 2012	avril 2012	1	39
15	23	mai 2012	mai 2012	1	40
15	23	juin 2012	juin 2012	1	41
15	23	juillet 2012	juillet 2012	1	42
15	23	août 2012	août 2012	1	43
15	23	septembre 2012	septembre 2012	1	44
15	23	octobre 2012	octobre 2012	1	45
15	23	novembre 2012	novembre 2012	1	46
15	23	décembre 2012	décembre 2012	1	47
15	23	janvier 2013	janvier 2013	1	48
15	23	février 2013	février 2013	1	49
15	23	mars 2013	mars 2013	1	50
15	23	avril 2013	avril 2013	1	51
15	23	mai 2013	mai 2013	1	52
15	23	juin 2013	juin 2013	1	53
15	23	juillet 2013	juillet 2013	1	54
15	23	août 2013	août 2013	1	55
15	23	septembre 2013	septembre 2013	1	56
15	23	octobre 2013	octobre 2013	1	57
15	23	novembre 2013	novembre 2013	1	58
15	23	décembre 2013	décembre 2013	1	59
15	23	janvier 2014	janvier 2014	1	60
15	23	février 2014	février 2014	1	61
15	23	mars 2014	mars 2014	1	62
15	23	avril 2014	avril 2014	1	63
15	23	mai 2014	mai 2014	1	64
15	23	juin 2014	juin 2014	1	65
15	23	juillet 2014	juillet 2014	1	66
15	23	août 2014	août 2014	1	67
15	23	septembre 2014	septembre 2014	1	68
15	23	octobre 2014	octobre 2014	1	69
15	23	novembre 2014	novembre 2014	1	70
15	23	décembre 2014	décembre 2014	1	71
15	23	janvier 2009	janvier 2009	1	1
15	23	février 2009	février 2009	1	2
15	23	mars 2009	mars 2009	1	3
15	23	avril 2009	avril 2009	1	4
15	23	mai 2009	mai 2009	1	5
15	23	juin 2009	juin 2009	1	6
15	23	juillet 2009	juillet 2009	1	7
15	23	août 2009	août 2009	1	8
15	23	septembre 2009	septembre 2009	1	9
15	23	octobre 2009	octobre 2009	1	10
15	23	novembre 2009	novembre 2009	1	11
15	23	décembre 2009	décembre 2009	1	12
15	23	janvier 2010	janvier 2010	1	13
15	23	février 2010	février 2010	1	14
15	23	mars 2010	mars 2010	1	15
15	23	avril 2010	avril 2010	1	16
15	23	mai 2010	mai 2010	1	17
15	23	juin 2010	juin 2010	1	18
15	23	juillet 2010	juillet 2010	1	19
15	23	août 2010	août 2010	1	20
15	23	septembre 2010	septembre 2010	1	21
15	23	octobre 2010	octobre 2010	1	22
15	23	novembre 2010	novembre 2010	1	23
15	23	décembre 2010	décembre 2010	1	24
15	23	janvier 2011	janvier 2011	1	25
15	23	février 2011	février 2011	1	26
15	23	mars 2011	mars 2011	1	27
15	23	avril 2011	avril 2011	1	28
15	23	mai 2011	mai 2011	1	29
15	23	juin 2011	juin 2011	1	30
15	23	juillet 2011	juillet 2011	1	31
15	23	août 2011	août 2011	1	32
15	23	septembre 2011	septembre 2011	1	33
15	23	octobre 2011	octobre 2011	1	34
15	23	novembre 2011	novembre 2011	1	35
