colour	x	y	label	key	clickSelects	showSelected1	PANEL	group
#8DD3C7	11	818	Berri	Berri	Berri	Berri	2	1
#8DD3C7	18	826	Berri	Berri	Berri	Berri	2	1
#8DD3C7	17	1371	Berri	Berri	Berri	Berri	2	1
#8DD3C7	27	4551	Berri	Berri	Berri	Berri	2	1
#8DD3C7	21	6228	Berri	Berri	Berri	Berri	2	1
#8DD3C7	17	6820	Berri	Berri	Berri	Berri	2	1
#8DD3C7	9	7126	Berri	Berri	Berri	Berri	2	1
#8DD3C7	3	6404	Berri	Berri	Berri	Berri	2	1
#8DD3C7	9	6075	Berri	Berri	Berri	Berri	2	1
#8DD3C7	6	4352	Berri	Berri	Berri	Berri	2	1
#8DD3C7	9	3040	Berri	Berri	Berri	Berri	2	1
#8DD3C7	2	1877	Berri	Berri	Berri	Berri	2	1
#FFFFB3	9	8075	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	2	2
#FFFFB3	3	7683	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	2	2
#FFFFB3	2	7548	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	2	2
#FFFFB3	6	2705	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	2	2
#FFFFB3	9	1815	Br茅beuf	Br茅beuf	Br茅beuf	Br茅beuf	2	2
#80B1D3	16	3999	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	5	3564	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	3	3602	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	10	3421	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	21	1978	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	10	1770	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	2	1211	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#FDB462	17	6547	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	9	6251	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	25	6198	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	10	7087	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	6	5110	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	10	3930	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	2	2367	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#D9D9D9	12	1337	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	28	1798	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	18	3021	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	30	3037	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	12	3308	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	17	3260	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	9	3646	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	3	3420	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	9	3465	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	2	3182	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	26	2636	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#D9D9D9	9	2491	Saint-Urbain	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#8DD3C7	27	876	Berri	Berri	Berri	Berri	2	1
#8DD3C7	16	916	Berri	Berri	Berri	Berri	2	1
#8DD3C7	16	2336	Berri	Berri	Berri	Berri	2	1
#8DD3C7	30	4643	Berri	Berri	Berri	Berri	2	1
#8DD3C7	25	6930	Berri	Berri	Berri	Berri	2	1
#8DD3C7	15	7995	Berri	Berri	Berri	Berri	2	1
#8DD3C7	20	7203	Berri	Berri	Berri	Berri	2	1
#8DD3C7	24	7078	Berri	Berri	Berri	Berri	2	1
#8DD3C7	10	5897	Berri	Berri	Berri	Berri	2	1
#8DD3C7	5	5233	Berri	Berri	Berri	Berri	2	1
#8DD3C7	3	3394	Berri	Berri	Berri	Berri	2	1
#8DD3C7	2	1572	Berri	Berri	Berri	Berri	2	1
#FFFFB3	14	4121	Br閎euf	Br閎euf	Br閎euf	Br閎euf	2	2
#FFFFB3	4	9735	Br閎euf	Br閎euf	Br閎euf	Br閎euf	2	2
#FFFFB3	20	7194	Br閎euf	Br閎euf	Br閎euf	Br閎euf	2	2
