x	y	tooltip	group
-73.5517852973529	45.49812735	Piste cyclable en site propre	1274
-73.5520030008104	45.49812735	Piste cyclable en site propre	1274
-73.552054224999	45.49812735	Piste cyclable en site propre	1274
-73.5521293773459	45.49812735	Piste cyclable en site propre	1274
-73.5522239735059	45.49812735	Piste cyclable en site propre	1274
-73.5523039086861	45.49812735	Piste cyclable en site propre	1274
-73.5492134766074	45.49812735	Piste cyclable en site propre	1562
-73.548995775642	45.49812735	Piste cyclable en site propre	1562
-73.548811365402	45.49812735	Piste cyclable en site propre	1562
-73.548230038795	45.49812735	Piste cyclable en site propre	1562
-73.5479965976966	45.49812735	Piste cyclable en site propre	1562
-73.5740569025955	45.49812735	Piste cyclable en site propre	1752
-73.5740163265841	45.49812735	Piste cyclable en site propre	1752
-73.5739410097261	45.49812735	Piste cyclable en site propre	1752
-73.5738881086206	45.49812735	Piste cyclable en site propre	1752
-73.5535738175952	45.5252158997188	Piste cyclable en site propre	1
-73.5534606701615	45.5251889868693	Piste cyclable en site propre	1
-73.5530469843927	45.525081930856	Piste cyclable en site propre	1
-73.5527605057562	45.525006665143	Piste cyclable en site propre	1
-73.5473109232875	45.49812735	Piste cyclable en site propre	420
-73.5472633400075	45.49812735	Piste cyclable en site propre	420
-73.5471650998759	45.49812735	Piste cyclable en site propre	420
-73.5470422162293	45.49812735	Piste cyclable en site propre	420
-73.5468835960391	45.49812735	Piste cyclable en site propre	420
-73.5467754939937	45.49812735	Piste cyclable en site propre	420
-73.5466645230985	45.49812735	Piste cyclable en site propre	420
-73.5465694020016	45.49812735	Piste cyclable en site propre	420
-73.5464722207124	45.49812735	Piste cyclable en site propre	420
-73.5464033753725	45.49812735	Piste cyclable en site propre	420
-73.5463311700966	45.49812735	Piste cyclable en site propre	420
-73.5462805838466	45.49812735	Piste cyclable en site propre	420
-73.5462362959244	45.49812735	Piste cyclable en site propre	420
-73.5462173810196	45.49812735	Piste cyclable en site propre	420
-73.5462205682345	45.49812735	Piste cyclable en site propre	420
-73.5599847695565	45.49812735	Piste cyclable en site propre	1803
-73.5600505645248	45.49812735	Piste cyclable en site propre	1803
-73.5601553408632	45.49812735	Piste cyclable en site propre	1803
-73.5608356916648	45.49812735	Piste cyclable en site propre	1803
-73.5612051784503	45.49812735	Piste cyclable en site propre	1803
-73.5612721085778	45.49812735	Piste cyclable en site propre	1803
-73.5613592728779	45.49812735	Piste cyclable en site propre	1803
-73.5615968097061	45.49812735	Piste cyclable en site propre	1803
-73.5617426946887	45.49812735	Piste cyclable en site propre	1803
-73.56188291442	45.49812735	Piste cyclable en site propre	1803
-73.5620253199744	45.49812735	Piste cyclable en site propre	1803
-73.56212597584	45.49812735	Piste cyclable en site propre	1803
-73.5622092745668	45.49812735	Piste cyclable en site propre	1803
-73.5622955037453	45.49812735	Piste cyclable en site propre	1803
-73.5413817	45.53188965	Piste cyclable en site propre	151
-73.5413817	45.53188965	Piste cyclable en site propre	151
-73.5413817	45.53188965	Piste cyclable en site propre	151
-73.5413817	45.53188965	Piste cyclable en site propre	151
-73.5413817	45.53188965	Piste cyclable en site propre	151
-73.5413817	45.53188965	Piste cyclable en site propre	151
-73.5417135017883	45.53188965	Piste cyclable en site propre	212
-73.5416988231726	45.53188965	Piste cyclable en site propre	212
-73.5417072112009	45.53188965	Piste cyclable en site propre	212
-73.5417071821271	45.53188965	Piste cyclable en site propre	212
-73.5417010690163	45.53188965	Piste cyclable en site propre	212
