colour	size	x	y	key	clickSelects	showSelected1	fill
#8DD3C7	4.30317791740052	-73.562845	45.516126	Berri	Berri	janvier 2009	#8DD3C7
#8DD3C7	4.76302064010457	-73.562845	45.516126	Berri	Berri	février 2009	#8DD3C7
#8DD3C7	5.79189534834259	-73.562845	45.516126	Berri	Berri	mars 2009	#8DD3C7
#8DD3C7	9.57746823564727	-73.562845	45.516126	Berri	Berri	avril 2009	#8DD3C7
#8DD3C7	14.5591329139642	-73.562845	45.516126	Berri	Berri	mai 2009	#8DD3C7
#8DD3C7	16.1690795560893	-73.562845	45.516126	Berri	Berri	juin 2009	#8DD3C7
#8DD3C7	16.8998995091737	-73.562845	45.516126	Berri	Berri	juillet 2009	#8DD3C7
#8DD3C7	16.3204873019958	-73.562845	45.516126	Berri	Berri	août 2009	#8DD3C7
#8DD3C7	16.1157031734819	-73.562845	45.516126	Berri	Berri	septembre 2009	#8DD3C7
#8DD3C7	12.0949199344816	-73.562845	45.516126	Berri	Berri	octobre 2009	#8DD3C7
#8DD3C7	10.9472814474802	-73.562845	45.516126	Berri	Berri	novembre 2009	#8DD3C7
#8DD3C7	6.14411793200692	-73.562845	45.516126	Berri	Berri	décembre 2009	#8DD3C7
#8DD3C7	5.23953262373946	-73.562845	45.516126	Berri	Berri	janvier 2010	#8DD3C7
#8DD3C7	5.42247252045089	-73.562845	45.516126	Berri	Berri	février 2010	#8DD3C7
#8DD3C7	8.98333577492539	-73.562845	45.516126	Berri	Berri	mars 2010	#8DD3C7
#8DD3C7	13.0997595380575	-73.562845	45.516126	Berri	Berri	avril 2010	#8DD3C7
#8DD3C7	17.0308632577046	-73.562845	45.516126	Berri	Berri	mai 2010	#8DD3C7
#8DD3C7	17.5686657075106	-73.562845	45.516126	Berri	Berri	juin 2010	#8DD3C7
#8DD3C7	18.0196225884889	-73.562845	45.516126	Berri	Berri	juillet 2010	#8DD3C7
#8DD3C7	17.2843309728153	-73.562845	45.516126	Berri	Berri	août 2010	#8DD3C7
#8DD3C7	15.9858998672317	-73.562845	45.516126	Berri	Berri	septembre 2010	#8DD3C7
#8DD3C7	13.2216888581877	-73.562845	45.516126	Berri	Berri	octobre 2010	#8DD3C7
#8DD3C7	10.9649603452707	-73.562845	45.516126	Berri	Berri	novembre 2010	#8DD3C7
#8DD3C7	5.38576529680904	-73.562845	45.516126	Berri	Berri	décembre 2010	#8DD3C7
#8DD3C7	5.19162365289404	-73.562845	45.516126	Berri	Berri	janvier 2011	#8DD3C7
#8DD3C7	4.91789453274059	-73.562845	45.516126	Berri	Berri	février 2011	#8DD3C7
#8DD3C7	6.34081133275558	-73.562845	45.516126	Berri	Berri	mars 2011	#8DD3C7
#8DD3C7	8.69462727654151	-73.562845	45.516126	Berri	Berri	avril 2011	#8DD3C7
#8DD3C7	6.41471111076981	-73.562845	45.516126	Berri	Berri	mai 2011	#8DD3C7
#8DD3C7	18.3509621141025	-73.562845	45.516126	Berri	Berri	juin 2011	#8DD3C7
#8DD3C7	17.2299180006872	-73.562845	45.516126	Berri	Berri	juillet 2011	#8DD3C7
#8DD3C7	17.2581023421101	-73.562845	45.516126	Berri	Berri	août 2011	#8DD3C7
#8DD3C7	17.3082784983965	-73.562845	45.516126	Berri	Berri	septembre 2011	#8DD3C7
#8DD3C7	4.09291621512247	-73.562845	45.516126	Berri	Berri	octobre 2011	#8DD3C7
#8DD3C7	4.89728975390638	-73.562845	45.516126	Berri	Berri	janvier 2012	#8DD3C7
#8DD3C7	5.38677627482405	-73.562845	45.516126	Berri	Berri	février 2012	#8DD3C7
#8DD3C7	8.69910028771528	-73.562845	45.516126	Berri	Berri	mars 2012	#8DD3C7
#8DD3C7	12.7639715402673	-73.562845	45.516126	Berri	Berri	avril 2012	#8DD3C7
#8DD3C7	17.103287611034	-73.562845	45.516126	Berri	Berri	mai 2012	#8DD3C7
#8DD3C7	17.7455544975607	-73.562845	45.516126	Berri	Berri	juin 2012	#8DD3C7
#8DD3C7	18.6805944105292	-73.562845	45.516126	Berri	Berri	juillet 2012	#8DD3C7
#8DD3C7	17.981752351832	-73.562845	45.516126	Berri	Berri	août 2012	#8DD3C7
#8DD3C7	16.7470120289952	-73.562845	45.516126	Berri	Berri	septembre 2012	#8DD3C7
#8DD3C7	14.737366173332	-73.562845	45.516126	Berri	Berri	octobre 2012	#8DD3C7
#8DD3C7	5.70813539626754	-73.562845	45.516126	Berri	Berri	novembre 2012	#8DD3C7
#8DD3C7	5.27108213582478	-73.562845	45.516126	Berri	Berri	janvier 2013	#8DD3C7
#8DD3C7	5.29454600492873	-73.562845	45.516126	Berri	Berri	février 2013	#8DD3C7
#8DD3C7	7.05969604650189	-73.562845	45.516126	Berri	Berri	mars 2013	#8DD3C7
#8DD3C7	12.3658075639262	-73.562845	45.516126	Berri	Berri	avril 2013	#8DD3C7
#8DD3C7	17.0513477944314	-73.562845	45.516126	Berri	Berri	mai 2013	#8DD3C7
#8DD3C7	16.7424845062138	-73.562845	45.516126	Berri	Berri	juin 2013	#8DD3C7
#8DD3C7	18.1977687954892	-73.562845	45.516126	Berri	Berri	juillet 2013	#8DD3C7
#8DD3C7	17.5931096480247	-73.562845	45.516126	Berri	Berri	août 2013	#8DD3C7
#8DD3C7	13.0211411197523	-73.562845	45.516126	Berri	Berri	septembre 2013	#8DD3C7
#FFFFB3	16.7712512623221	-73.573984	45.527411	Brébeuf	Brébeuf	juillet 2009	#FFFFB3
#FFFFB3	18.6517852939878	-73.573984	45.527411	Brébeuf	Brébeuf	août 2009	#FFFFB3
#FFFFB3	16.3311812116979	-73.573984	45.527411	Brébeuf	Brébeuf	septembre 2009	#FFFFB3
#FFFFB3	9.74581118468884	-73.573984	45.527411	Brébeuf	Brébeuf	octobre 2009	#FFFFB3
#FFFFB3	6.8612799781048	-73.573984	45.527411	Brébeuf	Brébeuf	novembre 2009	#FFFFB3
#FFFFB3	9.63911309506486	-73.573984	45.527411	Brébeuf	Brébeuf	avril 2010	#FFFFB3
#FFFFB3	16.7786658516579	-73.573984	45.527411	Brébeuf	Brébeuf	juin 2010	#FFFFB3
#FFFFB3	17.9492129141685	-73.573984	45.527411	Brébeuf	Brébeuf	juillet 2010	#FFFFB3
#FFFFB3	17.9610677364969	-73.573984	45.527411	Brébeuf	Brébeuf	août 2010	#FFFFB3
#FFFFB3	16.0556712431347	-73.573984	45.527411	Brébeuf	Brébeuf	septembre 2010	#FFFFB3
#FFFFB3	13.4534400680352	-73.573984	45.527411	Brébeuf	Brébeuf	octobre 2010	#FFFFB3
#FFFFB3	9.19556717564953	-73.573984	45.527411	Brébeuf	Brébeuf	novembre 2010	#FFFFB3
#BEBADA	8.93697766343789	-73.607832	45.514955	Côte-Sainte-Catherine	Côte-Sainte-Catherine	octobre 2010	#BEBADA
#BEBADA	8.04031195133452	-73.607832	45.514955	Côte-Sainte-Catherine	Côte-Sainte-Catherine	novembre 2010	#BEBADA
