xmin	xmax	clickSelects	PANEL	group
1230742800	1233421200	janvier 2009	2	1
1233421200	1235840400	février 2009	2	2
1235840400	1238518800	mars 2009	2	3
1238518800	1241110800	avril 2009	2	4
1241110800	1243789200	mai 2009	2	5
1243789200	1246381200	juin 2009	2	6
1246381200	1249059600	juillet 2009	2	7
1249059600	1251738000	août 2009	2	8
1251738000	1254330000	septembre 2009	2	9
1254330000	1257008400	octobre 2009	2	10
1257008400	1259600400	novembre 2009	2	11
1259600400	1262278800	décembre 2009	2	12
1262278800	1264957200	janvier 2010	2	13
1264957200	1267376400	février 2010	2	14
1267376400	1270054800	mars 2010	2	15
1270054800	1272646800	avril 2010	2	16
1272646800	1275325200	mai 2010	2	17
1275325200	1277917200	juin 2010	2	18
1277917200	1280595600	juillet 2010	2	19
1280595600	1283274000	août 2010	2	20
1283274000	1285866000	septembre 2010	2	21
1285866000	1288544400	octobre 2010	2	22
1288544400	1291136400	novembre 2010	2	23
1291136400	1293814800	décembre 2010	2	24
1293814800	1296493200	janvier 2011	2	25
1296493200	1298912400	février 2011	2	26
1298912400	1301590800	mars 2011	2	27
1301590800	1304182800	avril 2011	2	28
1304182800	1306861200	mai 2011	2	29
1306861200	1309453200	juin 2011	2	30
1309453200	1312131600	juillet 2011	2	31
1312131600	1314810000	août 2011	2	32
1314810000	1317402000	septembre 2011	2	33
1317402000	1320080400	octobre 2011	2	34
1320080400	1322672400	novembre 2011	2	35
1325350800	1328029200	janvier 2012	2	36
1328029200	1330534800	février 2012	2	37
1330534800	1333213200	mars 2012	2	38
1333213200	1335805200	avril 2012	2	39
1335805200	1338483600	mai 2012	2	40
1338483600	1341075600	juin 2012	2	41
1341075600	1343754000	juillet 2012	2	42
1343754000	1346432400	août 2012	2	43
1346432400	1349024400	septembre 2012	2	44
1349024400	1351702800	octobre 2012	2	45
1351702800	1354294800	novembre 2012	2	46
1356973200	1359651600	janvier 2013	2	47
1359651600	1362070800	février 2013	2	48
1362070800	1364749200	mars 2013	2	49
1364749200	1367341200	avril 2013	2	50
1367341200	1370019600	mai 2013	2	51
1370019600	1372611600	juin 2013	2	52
1372611600	1375290000	juillet 2013	2	53
1375290000	1377968400	août 2013	2	54
1377968400	1380560400	septembre 2013	2	55
