xmin	xmax	tooltip	clickSelects	PANEL	group
1325350800	1328029200	1 death,  10 people slightly injured in janvier 2012	janvier 2012	1	14
1328029200	1330534800	  20 people slightly injured in février 2012	février 2012	1	3
1330534800	1333213200	 3 people severely injured, 73 people slightly injured in mars 2012	mars 2012	1	11
1333213200	1335805200	 5 people severely injured, 109 people slightly injured in avril 2012	avril 2012	1	12
1335805200	1338483600	1 death, 9 people severely injured, 218 people slightly injured in mai 2012	mai 2012	1	22
1338483600	1341075600	3 deaths, 11 people severely injured, 268 people slightly injured in juin 2012	juin 2012	1	32
1341075600	1343754000	2 deaths, 15 people severely injured, 371 people slightly injured in juillet 2012	juillet 2012	1	24
1343754000	1346432400	1 death, 21 people severely injured, 316 people slightly injured in août 2012	août 2012	1	20
1346432400	1349024400	2 deaths, 12 people severely injured, 270 people slightly injured in septembre 2012	septembre 2012	1	23
1349024400	1351702800	3 deaths, 7 people severely injured, 162 people slightly injured in octobre 2012	octobre 2012	1	34
1351702800	1354294800	1 death, 3 people severely injured, 101 people slightly injured in novembre 2012	novembre 2012	1	21
1354294800	1356973200	 2 people severely injured, 15 people slightly injured in décembre 2012	décembre 2012	1	10
1356973200	1359651600	  6 people slightly injured in janvier 2013	janvier 2013	1	5
1359651600	1362070800	1 death, 1 person severely injured, 12 people slightly injured in février 2013	février 2013	1	15
1362070800	1364749200	1 death, 1 person severely injured, 26 people slightly injured in mars 2013	mars 2013	1	16
1364749200	1367341200	2 deaths, 6 people severely injured, 85 people slightly injured in avril 2013	avril 2013	1	30
1367341200	1370019600	5 deaths, 19 people severely injured, 244 people slightly injured in mai 2013	mai 2013	1	36
1370019600	1372611600	 16 people severely injured, 279 people slightly injured in juin 2013	juin 2013	1	8
1372611600	1375290000	2 deaths, 21 people severely injured, 302 people slightly injured in juillet 2013	juillet 2013	1	27
1375290000	1377968400	2 deaths, 17 people severely injured, 314 people slightly injured in août 2013	août 2013	1	25
1377968400	1380560400	4 deaths, 21 people severely injured, 255 people slightly injured in septembre 2013	septembre 2013	1	35
1380560400	1383238800	1 death, 13 people severely injured, 190 people slightly injured in octobre 2013	octobre 2013	1	18
1383238800	1385830800	2 deaths, 3 people severely injured, 71 people slightly injured in novembre 2013	novembre 2013	1	28
1385830800	1388509200	 1 person severely injured, 14 people slightly injured in décembre 2013	décembre 2013	1	6
1388509200	1391187600	  10 people slightly injured in janvier 2014	janvier 2014	1	2
1391187600	1393606800	  6 people slightly injured in février 2014	février 2014	1	4
1393606800	1396285200	 2 people severely injured, 10 people slightly injured in mars 2014	mars 2014	1	9
1396285200	1398877200	2 deaths, 6 people severely injured, 83 people slightly injured in avril 2014	avril 2014	1	29
1398877200	1401555600	2 deaths, 7 people severely injured, 202 people slightly injured in mai 2014	mai 2014	1	31
1401555600	1404147600	 15 people severely injured, 273 people slightly injured in juin 2014	juin 2014	1	7
1404147600	1406826000	2 deaths, 20 people severely injured, 269 people slightly injured in juillet 2014	juillet 2014	1	26
1406826000	1409504400	1 death, 12 people severely injured, 302 people slightly injured in août 2014	août 2014	1	17
1409504400	1412096400	3 deaths, 16 people severely injured, 262 people slightly injured in septembre 2014	septembre 2014	1	33
1412096400	1414774800	 8 people severely injured, 162 people slightly injured in octobre 2014	octobre 2014	1	13
1414774800	1417366800	1 death, 2 people severely injured, 69 people slightly injured in novembre 2014	novembre 2014	1	19
1417366800	1420045200	  10 people slightly injured in décembre 2014	décembre 2014	1	1
